epoch,train_loss,val_loss,val_mIoU,val_mIoU_no_bg,IoU_background,IoU_building,IoU_road,IoU_water,IoU_barren,IoU_forest,IoU_agriculture,epoch_seconds,lr_end
2,1.008568,0.918387,0.410948,0.430678,0.292566,0.505993,0.486406,0.444089,0.264188,0.386527,0.496866,180.2,5.986e-05
3,0.796476,0.851817,0.467750,0.481742,0.383801,0.557812,0.509301,0.579287,0.313668,0.331758,0.598623,180.2,5.835e-05
4,0.711132,0.841102,0.472746,0.476127,0.452456,0.549097,0.459043,0.566764,0.376824,0.391064,0.513972,180.1,5.529e-05
5,0.655517,0.861649,0.491093,0.495183,0.466551,0.519954,0.480672,0.655559,0.381404,0.401665,0.531844,267.4,5.084e-05
6,0.611968,0.840950,0.495903,0.498426,0.480759,0.557448,0.522742,0.623847,0.353463,0.382824,0.550235,251.7,4.524e-05
7,0.573354,0.956359,0.497557,0.498044,0.494641,0.576647,0.517610,0.661112,0.316351,0.334137,0.582404,250.8,3.880e-05
8,0.549304,0.945652,0.494565,0.494545,0.494688,0.564622,0.492713,0.656984,0.346017,0.364125,0.542809,251.1,3.188e-05
9,0.541555,0.909282,0.503657,0.505574,0.492156,0.557643,0.548337,0.654131,0.354197,0.381599,0.537538,251.4,2.486e-05
10,0.525975,0.851090,0.514731,0.517756,0.496579,0.569583,0.543677,0.667214,0.345511,0.385018,0.595533,251.2,1.812e-05
11,0.503341,0.982669,0.501791,0.504222,0.487201,0.564993,0.513704,0.652375,0.345691,0.406067,0.542505,250.6,1.203e-05
12,0.480447,0.905206,0.510941,0.513749,0.494090,0.582590,0.530585,0.658704,0.346071,0.397216,0.567331,250.8,6.934e-06
13,0.482537,0.945008,0.506469,0.508635,0.493476,0.576364,0.515395,0.667332,0.343239,0.392436,0.557044,251.4,3.102e-06
14,0.484867,1.042531,0.505879,0.506758,0.500610,0.580853,0.518586,0.666544,0.348915,0.392944,0.532704,250.9,7.483e-07
15,0.476739,1.034537,0.509399,0.510233,0.504397,0.572498,0.527908,0.683408,0.347766,0.398398,0.531417,251.3,1.866e-09
